Category,Service,Tier/CEU,Regular_AUD,Sale_AUD,Brief_Desc,Key_Inclusions
PFT Certification,Basic PFT,Basic,999,799,"Self‑paced entry package with PDF manual & study guide, proctored NCCA exam.",PDF Manual; Study Guide; 100‑Q Exam; Certificate
PFT Certification,Classic PFT,Classic,1699,1399,"Mid‑tier package with lesson videos, workshop library & practice exam.",Textbook; Video lessons; Workshop Library; 1 Practice Exam; Live Q&A; Exam & Certificate
PFT Certification,Premium PFT,Premium,2499,2199,Flagship package incl. live webinar/in‑person workshop & 3 practice exams.,Textbook; Study Guide; Online workshops; 3 Practice Exams; Free Re‑test; Business Guide; Exam & Certificate
Career Track,Master Personal Fitness Trainer,Career Track,5999,5499,Elite 4‑course bundle for advanced exercise science & business mastery.,Premium PFT; Sports Nutrition Specialist; Advanced PFT; Master PFT; 8‑yr Cert
Career Track,Group Fitness Specialist,Career Track,5999,5499,"Specialist pathway for leading inclusive, high‑energy group classes.",Premium PFT; Sports Nutrition; Group Leadership modules; 8‑yr Cert
Career Track,Medical Fitness Specialist,Career Track,5999,5499,Prepare to work with clients managing chronic health conditions.,Premium PFT; Sports Nutrition; Special Populations; Sports Medicine Trainer; 8‑yr Cert
Coaching Plan,Basic Support Plan (Monthly),N/A,59,59,General workout + balanced meal template; monthly email check‑in.,4‑week Workout; Meal Plan Template; Email Check‑in
Coaching Plan,Premium Support Plan (Monthly),N/A,99,99,Custom workout & nutrition with 2× weekly WhatsApp follow‑ups.,Custom Workout; Custom Meal Plan; 2×/wk WhatsApp; Progress Adjustments
CEU Workshop,STRENGTH TRAINING PAST 50,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,SPORTS NUTRITION GUIDEBOOK,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,SPORTS FIRST AID,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,SPORTS CONDITIONING SPECIALIST : SOCCER,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,SPORTS CONDITIONING SPECIALIST: FOOTBALL,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,PRESCRIPTIVE STRETCHING,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,POSTURAL CORRECTION,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,PERFORMANCE NUTRITION,8 CEU,649,549,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,MARTIAL ARTS CONDITIONING,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,EXERCISE FOR THE FRAIL ELDERLY,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,DEVELOPING MEAL FOR ATHLETES,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,DANCER WELLNESS,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,CORE TRAINING FOR ATHLETES,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,BREATHING FOR ULTIMATE ATHLETIC SUCCESS,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,APPLIED SPORTS MECHANICS,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,ADVANCED PLYOMETRIC TRAINING,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,YOGA FOR ATHLETES,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,TRX SUSPENSION TRAINING,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,STRETCHING ANATOMY,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,STRETCH TO WIN,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,RUNNING ANATOMY,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,OBSTACLE COURSE TRAINING,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,NUTRITION FOR YOUNG ATHLETES,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,MUSCLE MECHANICS,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,DESIGNING WEIGHT TRAINING PROGRAMS,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,FULL BODY FLEXIBILITY,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,FUNDAMENTAL WEIGHT TRAINING,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
